country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
GRC;Greece;INGRESO ALTO;207305649887;INGRESO ALTO;191362985555;INGRESO ALTO;218303801895;INGRESO ALTO;218880566444;INGRESO ALTO;243498333238
GRD;Grenada;INGRESO MEDIANO ALTO;1213485185;INGRESO MEDIANO ALTO;1043411111;INGRESO MEDIANO ALTO;1122800000;INGRESO MEDIANO ALTO;1224577778;INGRESO MEDIANO ALTO;1316733333
GRL;Greenland;INGRESO ALTO;2997309972;INGRESO ALTO;3082884653;INGRESO ALTO;3235809504;INGRESO ALTO;0;INGRESO ALTO;0
GTM;Guatemala;INGRESO MEDIANO ALTO;77172317259;INGRESO MEDIANO ALTO;77719464221;INGRESO MEDIANO ALTO;86478835636;INGRESO MEDIANO ALTO;95630524813;INGRESO MEDIANO ALTO;104450210572
GUM;Guam;INGRESO ALTO;6355000000;INGRESO ALTO;5916000000;INGRESO ALTO;6234000000;INGRESO ALTO;6910000000;INGRESO ALTO;0
GUY;Guyana;INGRESO ALTO;5173760192;INGRESO ALTO;5471256595;INGRESO ALTO;8041363893;INGRESO ALTO;14718387017;INGRESO ALTO;17159509565
HKG;Hong kong;INGRESO ALTO;363074545072;INGRESO ALTO;344943149590;INGRESO ALTO;368954169749;INGRESO ALTO;358681066274;INGRESO ALTO;380812234828
HND;Honduras;PAÍSES DE INGRESO MEDIANO BAJO;24882225742;PAÍSES DE INGRESO MEDIANO BAJO;23352232484;PAÍSES DE INGRESO MEDIANO BAJO;28144331507;PAÍSES DE INGRESO MEDIANO BAJO;31426041807;PAÍSES DE INGRESO MEDIANO BAJO;34400509852
HRV;Croatia;INGRESO ALTO;61467582194;INGRESO ALTO;57963370885;INGRESO ALTO;69006802299;INGRESO ALTO;71198635102;INGRESO ALTO;84393795502
HTI;Haiti;PAÍSES DE INGRESO MEDIANO BAJO;15016090930;PAÍSES DE INGRESO MEDIANO BAJO;14508222518;PAÍSES DE INGRESO MEDIANO BAJO;20877414953;PAÍSES DE INGRESO MEDIANO BAJO;20253551921;PAÍSES DE INGRESO MEDIANO BAJO;19850829758
HUN;Hungary;INGRESO ALTO;164020460332;INGRESO ALTO;157288955508;INGRESO ALTO;182109999478;INGRESO ALTO;177006128625;INGRESO ALTO;212388906459
